                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.88408,                 1.5212,                0.60456,                0.99287,                 0.7525,                0.64333,                0.70252,                0.44201,                0.74319,                0.63603,                0.68787,                0.36342,                 1.1897,                 2.1081,                0.96267,                 1.1993,               0.000868,               0.000868,               0.000868
                     42,                0.88045,                 1.5189,                0.59775,                0.99454,                0.76106,                0.64174,                0.70586,                0.44353,                0.75925,                0.63594,                0.69463,                0.36346,                 1.1868,                 2.1077,                 0.9583,                 1.2009,              0.0008647,              0.0008647,              0.0008647
                     43,                0.87351,                 1.5062,                 0.5906,                0.98958,                0.75966,                0.64684,                0.70823,                0.44238,                 0.7741,                0.63068,                0.69538,                0.36383,                 1.2008,                 2.1239,                0.94674,                 1.2133,              0.0008614,              0.0008614,              0.0008614
                     44,                0.86997,                 1.4979,                0.58355,                0.98722,                 0.7357,                0.66576,                0.70567,                0.44032,                0.73547,                0.65184,                0.69108,                0.36148,                 1.2014,                   2.13,                0.94646,                 1.2152,              0.0008581,              0.0008581,              0.0008581
                     45,                0.86702,                 1.4875,                0.58085,                0.98466,                0.76644,                0.64771,                0.70665,                0.44572,                0.76036,                0.63818,                0.69094,                0.36579,                 1.1923,                 2.1315,                0.94578,                 1.2102,              0.0008548,              0.0008548,              0.0008548
                     46,                0.86065,                 1.4732,                0.57313,                0.98142,                0.75565,                0.65419,                0.71079,                0.44769,                0.74621,                0.64504,                0.69313,                0.36552,                 1.1939,                 2.1342,                0.95123,                  1.213,              0.0008515,              0.0008515,              0.0008515
                     47,                0.85647,                 1.4811,                0.57188,                0.98177,                0.76943,                0.64897,                0.71388,                0.45147,                0.77879,                0.63337,                0.69988,                0.37069,                  1.197,                 2.1314,                0.94637,                 1.2192,              0.0008482,              0.0008482,              0.0008482
                     48,                0.85248,                 1.4608,                0.56585,                0.97744,                0.75469,                 0.6622,                0.71648,                0.45009,                 0.7597,                0.64829,                0.69968,                0.36995,                 1.1979,                 2.1305,                0.94397,                 1.2202,              0.0008449,              0.0008449,              0.0008449
                     49,                0.84849,                 1.4536,                0.56011,                0.97521,                0.77173,                0.64529,                0.71319,                0.44864,                0.76353,                0.63651,                0.69432,                0.36659,                 1.1959,                 2.1433,                0.94511,                 1.2184,              0.0008416,              0.0008416,              0.0008416
                     50,                0.84394,                 1.4502,                0.55872,                0.97529,                0.75813,                0.65613,                0.71463,                0.44973,                0.75656,                0.63724,                0.69643,                 0.3674,                 1.1943,                 2.1387,                  0.943,                 1.2144,              0.0008383,              0.0008383,              0.0008383
                     51,                0.83954,                 1.4438,                0.55211,                0.97062,                0.78608,                0.64366,                0.71459,                0.44825,                0.78233,                0.63284,                0.69794,                0.36834,                 1.1958,                 2.1394,                0.94029,                 1.2175,               0.000835,               0.000835,               0.000835
                     52,                0.83455,                  1.433,                 0.5461,                0.96963,                0.78447,                0.63924,                 0.7122,                0.44758,                0.77741,                0.63035,                0.69486,                0.36808,                 1.1995,                 2.1414,                 0.9402,                  1.222,              0.0008317,              0.0008317,              0.0008317
                     53,                0.83312,                 1.4252,                0.54195,                 0.9695,                0.77923,                0.64318,                0.71015,                0.44817,                0.77499,                 0.6375,                0.69654,                0.36767,                 1.1995,                 2.1457,                0.94112,                 1.2221,              0.0008284,              0.0008284,              0.0008284
                     54,                0.82418,                 1.4147,                0.53679,                0.96692,                0.76792,                0.64796,                0.71151,                0.44758,                0.76364,                0.63538,                0.69555,                0.36955,                 1.2017,                 2.1542,                0.94022,                 1.2287,              0.0008251,              0.0008251,              0.0008251
                     55,                0.82368,                 1.4135,                0.53567,                0.96486,                0.76789,                0.65069,                0.71178,                0.44751,                0.76948,                0.63159,                0.69522,                0.36689,                 1.1961,                 2.1465,                0.94068,                 1.2209,              0.0008218,              0.0008218,              0.0008218
                     56,                0.81968,                 1.4018,                0.53224,                0.96417,                0.78241,                0.63595,                0.71238,                0.44866,                0.77681,                0.62594,                0.69267,                0.37008,                 1.1987,                  2.157,                0.94015,                 1.2225,              0.0008185,              0.0008185,              0.0008185
                     57,                0.81626,                 1.4031,                 0.5279,                0.95869,                0.76912,                0.65178,                0.71072,                0.44808,                0.76573,                0.63935,                0.69525,                0.36896,                 1.1979,                 2.1577,                0.93703,                 1.2227,              0.0008152,              0.0008152,              0.0008152
                     58,                0.81258,                 1.3976,                0.52136,                0.95825,                0.76442,                0.65537,                0.71103,                0.44876,                0.76101,                 0.6445,                0.69508,                0.36917,                 1.2001,                 2.1688,                0.94084,                 1.2249,              0.0008119,              0.0008119,              0.0008119
                     59,                0.80894,                 1.3844,                0.52168,                0.95409,                0.77512,                0.65189,                0.71362,                0.44924,                0.77022,                0.64302,                0.69803,                0.37096,                 1.1993,                 2.1771,                0.93938,                 1.2255,              0.0008086,              0.0008086,              0.0008086
                     60,                0.80717,                 1.3797,                0.51749,                0.95476,                0.76975,                0.65802,                0.71312,                0.44983,                0.76244,                0.64992,                0.69796,                0.37131,                 1.2024,                 2.1722,                 0.9394,                 1.2285,              0.0008053,              0.0008053,              0.0008053
                     61,                0.80561,                   1.38,                0.51389,                0.95123,                0.78528,                0.65301,                0.71309,                0.44874,                0.77892,                0.64508,                0.69816,                0.36988,                 1.2003,                 2.1737,                0.93956,                  1.225,               0.000802,               0.000802,               0.000802
                     62,                0.79939,                 1.3735,                0.51023,                0.95142,                0.76541,                 0.6634,                 0.7126,                0.44825,                0.76815,                0.64851,                0.70066,                0.37233,                 1.2012,                  2.175,                 0.9377,                 1.2292,              0.0007987,              0.0007987,              0.0007987
