                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.0479,                 2.3428,                0.91789,                  1.097,                0.43311,                0.27267,                0.28399,                0.18739,                0.38278,                 0.2216,                0.21957,                 0.1148,                 1.1618,                 2.4945,                 1.0415,                  1.115,              0.0070795,              0.0070795,              0.0070795
                     61,                 1.0476,                 2.3408,                0.91744,                 1.0957,                0.42966,                0.27491,                0.28463,                0.18746,                0.38628,                0.22273,                0.21976,                0.11487,                 1.1616,                 2.4935,                 1.0418,                 1.1155,                0.00703,                0.00703,                0.00703
                     62,                 1.0439,                 2.3317,                0.91291,                 1.0942,                0.42427,                0.27449,                 0.2841,                0.18741,                0.38626,                0.22206,                0.21973,                0.11471,                 1.1615,                 2.4942,                 1.0415,                 1.1155,              0.0069805,              0.0069805,              0.0069805
                     63,                 1.0448,                 2.3314,                0.90958,                 1.0931,                0.43186,                0.27398,                0.28389,                0.18754,                0.40894,                0.21995,                0.22032,                0.11485,                 1.1612,                 2.4939,                 1.0418,                 1.1154,               0.006931,               0.006931,               0.006931
                     64,                 1.0427,                 2.3271,                0.90932,                 1.0928,                0.42715,                0.27791,                0.28462,                 0.1877,                0.41538,                0.21959,                0.22019,                0.11502,                 1.1609,                 2.4939,                 1.0415,                 1.1156,              0.0068815,              0.0068815,              0.0068815
                     65,                 1.0381,                 2.3188,                0.90576,                 1.0918,                0.42168,                0.27605,                 0.2848,                0.18786,                0.41099,                0.22064,                0.22048,                0.11536,                 1.1606,                 2.4943,                 1.0412,                 1.1156,               0.006832,               0.006832,               0.006832
                     66,                 1.0381,                 2.3184,                0.90255,                 1.0914,                0.42418,                0.27618,                0.28513,                0.18778,                 0.4053,                0.22161,                0.22091,                0.11551,                   1.16,                 2.4952,                 1.0409,                 1.1156,              0.0067825,              0.0067825,              0.0067825
                     67,                 1.0371,                  2.315,                0.90003,                 1.0903,                0.42222,                0.27612,                0.28439,                 0.1877,                0.40362,                0.22223,                0.22044,                  0.115,                 1.1601,                  2.495,                 1.0404,                 1.1156,               0.006733,               0.006733,               0.006733
                     68,                 1.0371,                 2.3102,                0.89676,                 1.0902,                0.42368,                0.27711,                0.28415,                0.18773,                0.39065,                0.22387,                0.22059,                0.11496,                 1.1599,                 2.4962,                 1.0405,                 1.1155,              0.0066835,              0.0066835,              0.0066835
                     69,                 1.0365,                 2.3065,                0.89331,                 1.0889,                0.42275,                0.27763,                0.28481,                0.18828,                0.39307,                0.22568,                0.22058,                0.11508,                 1.1598,                 2.4963,                 1.0402,                 1.1156,               0.006634,               0.006634,               0.006634
